gene,annotation_status,go_terms,pathways,annotation_url,go_synaptic,go_rna_processing,go_neuroinflammation,go_neuronal,go_count,pathway_count,prior_go_terms,prior_pathways,manual_ad_evidence_level,manual_human_ad_evidence,manual_mechanistic_evidence,manual_synaptic_evidence,manual_tau_evidence,manual_amyloid_evidence,manual_neuroinflammation_evidence,manual_pmid,manual_literature_note,manual_ad_evidence_level_encoded,manual_human_ad_evidence_encoded,manual_mechanistic_evidence_encoded,manual_synaptic_evidence_encoded,manual_tau_evidence_encoded,manual_amyloid_evidence_encoded,manual_neuroinflammation_evidence_encoded,manual_review_status,automated_pubmed_total_hits,automated_papers_reviewed_auto,automated_auto_evidence_level,automated_human_hits,automated_mechanistic_hits,automated_synaptic_hits,automated_tau_hits,automated_amyloid_hits,automated_neuroinflammation_hits,automated_pmids_auto
BEX5,queried,cytoplasm; protein binding; signal transduction; signaling receptor binding,,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000184515&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,4,0,cytoplasm; protein binding; signal transduction; signaling receptor binding,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from the targeted literature review.,,,,,,,,reviewed,0.0,0.0,unclear,0.0,0.0,0.0,0.0,0.0,0.0,
ZNF652,queried,"DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; negative regulation of transcription by RNA polymerase II; nucleus; protein binding; regulation of transcription by RNA polymerase II",,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000198740&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,6,0,"DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; negative regulation of transcription by RNA polymerase II; nucleus; protein binding; regulation of transcription by RNA polymerase II",,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from the targeted literature review.,,,,,,,,reviewed,2.0,2.0,limited_candidate,1.0,2.0,0.0,1.0,1.0,0.0,38706793;39201500
KRT5,queried,cytoplasm; cytosol; epidermis development; extracellular exosome; intermediate filament; intermediate filament organization; intermediate filament polymerization; keratin filament; keratinization; membrane; nucleus; protein binding; protein-containing complex; regulation of cell migration; regulation of protein localization; response to mechanical stimulus; scaffold protein binding; structural constituent of cytoskeleton; structural constituent of skin epidermis,netpath: EGFR1; pid: Glucocorticoid receptor regulatory network; pid: Validated transcriptional targets of deltaNp63 isoforms; reactome: Cell junction organization; reactome: Cell-Cell communication; reactome: Developmental Biology; reactome: Developmental Cell Lineages; reactome: Developmental Cell Lineages of the Integumentary System; reactome: Developmental Lineage of Mammary Gland Luminal Epithelial Cells; reactome: Developmental Lineage of Mammary Gland Myoepithelial Cells; reactome: Developmental Lineage of Mammary Stem Cells; reactome: Developmental Lineages of the Mammary Gland; reactome: Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin; reactome: Formation of the cornified envelope; reactome: Keratinization; reactome: Type I hemidesmosome assembly,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000186081&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,19,16,cytoplasm; cytosol; epidermis development; extracellular exosome; intermediate filament; intermediate filament organization; intermediate filament polymerization; keratin filament; keratinization; membrane; nucleus; protein binding; protein-containing complex; regulation of cell migration; regulation of protein localization; response to mechanical stimulus; scaffold protein binding; structural constituent of cytoskeleton; structural constituent of skin epidermis,netpath: EGFR1; pid: Glucocorticoid receptor regulatory network; pid: Validated transcriptional targets of deltaNp63 isoforms; reactome: Cell junction organization; reactome: Cell-Cell communication; reactome: Developmental Biology; reactome: Developmental Cell Lineages; reactome: Developmental Cell Lineages of the Integumentary System; reactome: Developmental Lineage of Mammary Gland Luminal Epithelial Cells; reactome: Developmental Lineage of Mammary Gland Myoepithelial Cells; reactome: Developmental Lineage of Mammary Stem Cells; reactome: Developmental Lineages of the Mammary Gland; reactome: Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin; reactome: Formation of the cornified envelope; reactome: Keratinization; reactome: Type I hemidesmosome assembly,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear; retain as exploratory.,,,,,,,,reviewed,0.0,0.0,unclear,0.0,0.0,0.0,0.0,0.0,0.0,
PRKX,queried,ATP binding; adenylate cyclase-activating G protein-coupled receptor signaling pathway; angiogenesis; cAMP-dependent protein kinase activity; cAMP-dependent protein kinase complex; cell adhesion; cell-substrate adhesion; cytoplasm; cytosol; endothelial cell migration; endothelial cell proliferation; epithelial tube morphogenesis; kidney morphogenesis; myeloid cell differentiation; nucleoplasm; nucleus; peptidyl-serine phosphorylation; protein autophosphorylation; protein binding; protein kinase activity; protein serine kinase activity; protein serine/threonine kinase activity; regulation of cell adhesion; regulation of cell migration; regulation of epithelial cell differentiation involved in kidney development,netpath: EGFR1; reactome: ADORA2B mediated anti-inflammatory cytokines production; reactome: Activation of NMDA receptors and postsynaptic events; reactome: Anti-inflammatory response favouring Leishmania parasite infection; reactome: CREB1 phosphorylation through the activation of Adenylate Cyclase; reactome: Ca-dependent events; reactome: CaM pathway; reactome: Calmodulin induced events; reactome: DAG and IP3 signaling; reactome: Disease; reactome: FCGR3A-mediated IL10 synthesis; reactome: G alpha (i) signalling events; reactome: G-protein mediated events; reactome: GPCR downstream signalling; reactome: Infectious disease; reactome: Intracellular signaling by second messengers; reactome: Leishmania infection; reactome: Leishmania parasite growth and survival; reactome: Neuronal System; reactome: Neurotransmitter receptors and postsynaptic signal transmission; reactome: Opioid Signalling; reactome: PKA-mediated phosphorylation of CREB; reactome: PLC beta mediated events; reactome: Parasitic Infection Pathways; reactome: Post NMDA receptor activation events; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: Transmission across Chemical Synapses; wikipathways: Chemokine signaling pathway,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000183943&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,25,29,ATP binding; adenylate cyclase-activating G protein-coupled receptor signaling pathway; angiogenesis; cAMP-dependent protein kinase activity; cAMP-dependent protein kinase complex; cell adhesion; cell-substrate adhesion; cytoplasm; cytosol; endothelial cell migration; endothelial cell proliferation; epithelial tube morphogenesis; kidney morphogenesis; myeloid cell differentiation; nucleoplasm; nucleus; peptidyl-serine phosphorylation; protein autophosphorylation; protein binding; protein kinase activity; protein serine kinase activity; protein serine/threonine kinase activity; regulation of cell adhesion; regulation of cell migration; regulation of epithelial cell differentiation involved in kidney development,netpath: EGFR1; reactome: ADORA2B mediated anti-inflammatory cytokines production; reactome: Activation of NMDA receptors and postsynaptic events; reactome: Anti-inflammatory response favouring Leishmania parasite infection; reactome: CREB1 phosphorylation through the activation of Adenylate Cyclase; reactome: Ca-dependent events; reactome: CaM pathway; reactome: Calmodulin induced events; reactome: DAG and IP3 signaling; reactome: Disease; reactome: FCGR3A-mediated IL10 synthesis; reactome: G alpha (i) signalling events; reactome: G-protein mediated events; reactome: GPCR downstream signalling; reactome: Infectious disease; reactome: Intracellular signaling by second messengers; reactome: Leishmania infection; reactome: Leishmania parasite growth and survival; reactome: Neuronal System; reactome: Neurotransmitter receptors and postsynaptic signal transmission; reactome: Opioid Signalling; reactome: PKA-mediated phosphorylation of CREB; reactome: PLC beta mediated events; reactome: Parasitic Infection Pathways; reactome: Post NMDA receptor activation events; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: Transmission across Chemical Synapses; wikipathways: Chemokine signaling pathway,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Targeted literature review did not identify convincing direct Alzheimer-specific evidence.,,,,,,,,reviewed,0.0,0.0,unclear,0.0,0.0,0.0,0.0,0.0,0.0,
COL12A1,queried,FACIT collagen trimer; animal gross anatomical part developmental process; collagen fibril organization; collagen type XII trimer; endodermal cell differentiation; endoplasmic reticulum lumen; extracellular exosome; extracellular matrix; extracellular matrix structural constituent conferring tensile strength; extracellular region; extracellular vesicle; tissue development,kegg: Protein digestion and absorption - Homo sapiens (human); reactome: Assembly of collagen fibrils and other multimeric structures; reactome: Collagen biosynthesis and modifying enzymes; reactome: Collagen chain trimerization; reactome: Collagen degradation; reactome: Collagen formation; reactome: Degradation of the extracellular matrix; reactome: Extracellular matrix organization,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000111799&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,12,8,FACIT collagen trimer; animal gross anatomical part developmental process; collagen fibril organization; collagen type XII trimer; endodermal cell differentiation; endoplasmic reticulum lumen; extracellular exosome; extracellular matrix; extracellular matrix structural constituent conferring tensile strength; extracellular region; extracellular vesicle; tissue development,kegg: Protein digestion and absorption - Homo sapiens (human); reactome: Assembly of collagen fibrils and other multimeric structures; reactome: Collagen biosynthesis and modifying enzymes; reactome: Collagen chain trimerization; reactome: Collagen degradation; reactome: Collagen formation; reactome: Degradation of the extracellular matrix; reactome: Extracellular matrix organization,unclear,limited,unclear,unclear,unclear,unclear,unclear,,"Some genetic databases link COL12A1 loci to AD, but direct transcriptomic or mechanistic evidence is not yet strong enough here for a higher evidence label.",,1.0,,,,,,reviewed,0.0,0.0,unclear,0.0,0.0,0.0,0.0,0.0,0.0,
FIBP,queried,endomembrane system; fibroblast growth factor binding; fibroblast growth factor receptor signaling pathway; membrane; mitochondrion; nuclear speck; nucleus; platelet aggregation,netpath: Fibroblast growth factor-1; wikipathways: Modulators of TCR signaling and T cell activation,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000172500&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,8,2,endomembrane system; fibroblast growth factor binding; fibroblast growth factor receptor signaling pathway; membrane; mitochondrion; nuclear speck; nucleus; platelet aggregation,netpath: Fibroblast growth factor-1; wikipathways: Modulators of TCR signaling and T cell activation,strong,yes,limited,limited,yes,yes,yes,41866337,"Decreased FIBP expression is associated with AD, amyloidopathy and tauopathy in human brain cohorts, with replication across ROSMAP and MSBB regions; newer immune-cell analyses also link FIBP expression to AD risk.",3.0,1.0,1.0,1.0,1.0,1.0,1.0,reviewed,5.0,5.0,moderate_candidate,4.0,5.0,0.0,1.0,1.0,1.0,41854441;41866337;35931864;41143248;40908685
PHF19,queried,"DNA binding; ESC/E(Z) complex; chromatin binding; epigenetic regulation of gene expression; heterochromatin formation; histone H3K36me3 reader activity; histone H3K4me3 reader activity; negative regulation of gene expression, epigenetic; negative regulation of transcription by RNA polymerase II; nucleoplasm; nucleus; protein binding; stem cell differentiation; stem cell population maintenance",reactome: Epigenetic regulation of gene expression; reactome: Gene expression (Transcription); reactome: PRC2 methylates histones and DNA,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000119403&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,14,3,"DNA binding; ESC/E(Z) complex; chromatin binding; epigenetic regulation of gene expression; heterochromatin formation; histone H3K36me3 reader activity; histone H3K4me3 reader activity; negative regulation of gene expression, epigenetic; negative regulation of transcription by RNA polymerase II; nucleoplasm; nucleus; protein binding; stem cell differentiation; stem cell population maintenance",reactome: Epigenetic regulation of gene expression; reactome: Gene expression (Transcription); reactome: PRC2 methylates histones and DNA,limited,limited,yes,limited,unclear,yes,limited,41825614,"PHF19-PRC2 signaling was implicated in pericyte injury, blood-brain barrier dysfunction and behavioral deficits in Aβ-treated cells and APP/PS1 mice.",1.0,1.0,1.0,1.0,,1.0,1.0,reviewed,2.0,2.0,limited_candidate,1.0,2.0,0.0,0.0,1.0,0.0,35105355;41825614
EFR3B,queried,cytosol; phosphatidylinositol phosphate biosynthetic process; plasma membrane; protein binding; protein localization to plasma membrane,,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000084710&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,5,0,cytosol; phosphatidylinositol phosphate biosynthetic process; plasma membrane; protein binding; protein localization to plasma membrane,,unclear,unclear,unclear,limited,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from targeted review.,,,,1.0,,,,reviewed,0.0,0.0,unclear,0.0,0.0,0.0,0.0,0.0,0.0,
PDE10A,queried,"3',5'-cGMP-stimulated cyclic-nucleotide phosphodiesterase activity; 3',5'-cyclic-AMP phosphodiesterase activity; 3',5'-cyclic-GMP phosphodiesterase activity; 3',5'-cyclic-nucleotide phosphodiesterase activity; cAMP binding; cAMP catabolic process; cGMP binding; cGMP catabolic process; cytosol; glutamatergic synapse; negative regulation of cAMP/PKA signal transduction; negative regulation of receptor guanylyl cyclase signaling pathway; phosphoric diester hydrolase activity; signal transduction; synapse",kegg: Morphine addiction - Homo sapiens (human); kegg: Purine metabolism - Homo sapiens (human); kegg: cAMP signaling pathway - Homo sapiens (human); reactome: G alpha (s) signalling events; reactome: GPCR downstream signalling; reactome: Hemostasis; reactome: Nitric oxide stimulates guanylate cyclase; reactome: Platelet homeostasis; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: cGMP effects; smpdb: AICA-Ribosiduria; smpdb: Adenine phosphoribosyltransferase deficiency (APRT); smpdb: Adenosine Deaminase Deficiency; smpdb: Adenylosuccinate Lyase Deficiency; smpdb: Azathioprine Action Pathway; smpdb: Gout or Kelley-Seegmiller Syndrome; smpdb: Lesch-Nyhan Syndrome (LNS); smpdb: Mercaptopurine Action Pathway; smpdb: Mitochondrial DNA depletion syndrome; smpdb: Molybdenum Cofactor Deficiency; smpdb: Myoadenylate deaminase deficiency; smpdb: Purine Metabolism; smpdb: Purine Nucleoside Phosphorylase Deficiency; smpdb: Thioguanine Action Pathway; smpdb: Xanthine Dehydrogenase Deficiency (Xanthinuria); smpdb: Xanthinuria type I; smpdb: Xanthinuria type II; wikipathways: Phosphodiesterases in neuronal function,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000112541&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,1,0,0,1,15,29,"3',5'-cGMP-stimulated cyclic-nucleotide phosphodiesterase activity; 3',5'-cyclic-AMP phosphodiesterase activity; 3',5'-cyclic-GMP phosphodiesterase activity; 3',5'-cyclic-nucleotide phosphodiesterase activity; cAMP binding; cAMP catabolic process; cGMP binding; cGMP catabolic process; cytosol; glutamatergic synapse; negative regulation of cAMP/PKA signal transduction; negative regulation of receptor guanylyl cyclase signaling pathway; phosphoric diester hydrolase activity; signal transduction; synapse",kegg: Morphine addiction - Homo sapiens (human); kegg: Purine metabolism - Homo sapiens (human); kegg: cAMP signaling pathway - Homo sapiens (human); reactome: G alpha (s) signalling events; reactome: GPCR downstream signalling; reactome: Hemostasis; reactome: Nitric oxide stimulates guanylate cyclase; reactome: Platelet homeostasis; reactome: Signal Transduction; reactome: Signaling by GPCR; reactome: cGMP effects; smpdb: AICA-Ribosiduria; smpdb: Adenine phosphoribosyltransferase deficiency (APRT); smpdb: Adenosine Deaminase Deficiency; smpdb: Adenylosuccinate Lyase Deficiency; smpdb: Azathioprine Action Pathway; smpdb: Gout or Kelley-Seegmiller Syndrome; smpdb: Lesch-Nyhan Syndrome (LNS); smpdb: Mercaptopurine Action Pathway; smpdb: Mitochondrial DNA depletion syndrome; smpdb: Molybdenum Cofactor Deficiency; smpdb: Myoadenylate deaminase deficiency; smpdb: Purine Metabolism; smpdb: Purine Nucleoside Phosphorylase Deficiency; smpdb: Thioguanine Action Pathway; smpdb: Xanthine Dehydrogenase Deficiency (Xanthinuria); smpdb: Xanthinuria type I; smpdb: Xanthinuria type II; wikipathways: Phosphodiesterases in neuronal function,moderate,limited,yes,yes,yes,yes,yes,41146234,"PDE10A inhibition improves CREB signaling and neuronal resilience in AD models, reducing amyloid-beta, phosphorylated tau and neuroinflammation while improving synaptic and cognitive phenotypes.",2.0,1.0,1.0,1.0,1.0,1.0,1.0,reviewed,12.0,10.0,strong_candidate,7.0,9.0,2.0,1.0,1.0,1.0,41146234;33914237;32938236;33356029;34907481;31728850;40215195;33414502;24184653;29175000
P2RX7,queried,ATP binding; apoptotic signaling pathway; bleb; bleb assembly; calcium ion transmembrane transport; calcium-mediated signaling; cell surface receptor signaling pathway; cell-cell junction; cellular response to ATP; channel activity; cytoplasm; excitatory postsynaptic potential; external side of plasma membrane; extracellularly ATP-gated monoatomic cation channel activity; extrinsic apoptotic signaling pathway; identical protein binding; lipopolysaccharide binding; membrane; membrane depolarization; monoatomic cation transmembrane transport; monoatomic ion channel activity; monoatomic ion transport; negative regulation of MAPK cascade; negative regulation of bone resorption; negative regulation of cell volume; neuromuscular junction; neuronal cell body; organophosphate ester transport; plasma membrane; plasma membrane phospholipid scrambling; pore complex assembly; positive regulation of NLRP3 inflammasome complex assembly; positive regulation of bleb assembly; positive regulation of bone mineralization; positive regulation of calcium ion transport into cytosol; positive regulation of cellular component organization; positive regulation of cytoskeleton organization; positive regulation of gene expression; positive regulation of glycolytic process; positive regulation of interleukin-1 beta production; positive regulation of monoatomic ion transmembrane transport; postsynapse; potassium channel activity; potassium ion transmembrane transport; protein binding; protein homotrimerization; purinergic nucleotide receptor activity; purinergic nucleotide receptor signaling pathway; regulation of sodium ion transport; regulation of transport; response to ATP; response to ischemia; sensory perception of pain; signaling receptor activity; signaling receptor binding; sodium channel activity; sodium ion transmembrane transport; synapse,"kegg: Calcium signaling pathway - Homo sapiens (human); kegg: NOD-like receptor signaling pathway - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); reactome: Cell recruitment (pro-inflammatory response); reactome: Cellular responses to mechanical stimuli; reactome: Cellular responses to stimuli; reactome: Disease; reactome: Elevation of cytosolic Ca2+ levels; reactome: Hemostasis; reactome: Immune System; reactome: Infectious disease; reactome: Inflammasomes; reactome: Innate Immune System; reactome: Leishmania infection; reactome: Mechanical load activates signaling by PIEZO1 and integrins in osteocytes; reactome: Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways; reactome: Parasitic Infection Pathways; reactome: Platelet calcium homeostasis; reactome: Platelet homeostasis; reactome: Purinergic signaling in leishmaniasis infection; reactome: The NLRP3 inflammasome; wikipathways: Purinergic signaling",https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000089041&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,1,0,1,1,58,22,ATP binding; apoptotic signaling pathway; bleb; bleb assembly; calcium ion transmembrane transport; calcium-mediated signaling; cell surface receptor signaling pathway; cell-cell junction; cellular response to ATP; channel activity; cytoplasm; excitatory postsynaptic potential; external side of plasma membrane; extracellularly ATP-gated monoatomic cation channel activity; extrinsic apoptotic signaling pathway; identical protein binding; lipopolysaccharide binding; membrane; membrane depolarization; monoatomic cation transmembrane transport; monoatomic ion channel activity; monoatomic ion transport; negative regulation of MAPK cascade; negative regulation of bone resorption; negative regulation of cell volume; neuromuscular junction; neuronal cell body; organophosphate ester transport; plasma membrane; plasma membrane phospholipid scrambling; pore complex assembly; positive regulation of NLRP3 inflammasome complex assembly; positive regulation of bleb assembly; positive regulation of bone mineralization; positive regulation of calcium ion transport into cytosol; positive regulation of cellular component organization; positive regulation of cytoskeleton organization; positive regulation of gene expression; positive regulation of glycolytic process; positive regulation of interleukin-1 beta production; positive regulation of monoatomic ion transmembrane transport; postsynapse; potassium channel activity; potassium ion transmembrane transport; protein binding; protein homotrimerization; purinergic nucleotide receptor activity; purinergic nucleotide receptor signaling pathway; regulation of sodium ion transport; regulation of transport; response to ATP; response to ischemia; sensory perception of pain; signaling receptor activity; signaling receptor binding; sodium channel activity; sodium ion transmembrane transport; synapse,"kegg: Calcium signaling pathway - Homo sapiens (human); kegg: NOD-like receptor signaling pathway - Homo sapiens (human); kegg: Neuroactive ligand-receptor interaction - Homo sapiens (human); reactome: Cell recruitment (pro-inflammatory response); reactome: Cellular responses to mechanical stimuli; reactome: Cellular responses to stimuli; reactome: Disease; reactome: Elevation of cytosolic Ca2+ levels; reactome: Hemostasis; reactome: Immune System; reactome: Infectious disease; reactome: Inflammasomes; reactome: Innate Immune System; reactome: Leishmania infection; reactome: Mechanical load activates signaling by PIEZO1 and integrins in osteocytes; reactome: Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways; reactome: Parasitic Infection Pathways; reactome: Platelet calcium homeostasis; reactome: Platelet homeostasis; reactome: Purinergic signaling in leishmaniasis infection; reactome: The NLRP3 inflammasome; wikipathways: Purinergic signaling",moderate,yes,yes,limited,unclear,limited,yes,40987420,P2RX7 regulates human microglia-like cell function and has been linked to inflammatory pathways associated with Alzheimer disease traits.,2.0,1.0,1.0,1.0,,1.0,1.0,reviewed,15.0,10.0,strong_candidate,7.0,9.0,4.0,4.0,3.0,8.0,40678243;32116543;40987420;38645234;35887215;32811520;41672153;38360834;32423012;40207815
NCALD,queried,actin binding; alpha-tubulin binding; calcium ion binding; calcium-mediated signaling; clathrin binding; clathrin coat of trans-Golgi network vesicle; cytosol; protein binding; regulation of signal transduction; tubulin binding; vesicle-mediated transport,kegg: Olfactory transduction - Homo sapiens (human); reactome: Activation of Ca-permeable Kainate Receptor; reactome: Activation of kainate receptors upon glutamate binding; reactome: Ionotropic activity of kainate receptors; reactome: Neuronal System; reactome: Neurotransmitter receptors and postsynaptic signal transmission; reactome: Transmission across Chemical Synapses,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000104490&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,11,7,actin binding; alpha-tubulin binding; calcium ion binding; calcium-mediated signaling; clathrin binding; clathrin coat of trans-Golgi network vesicle; cytosol; protein binding; regulation of signal transduction; tubulin binding; vesicle-mediated transport,kegg: Olfactory transduction - Homo sapiens (human); reactome: Activation of Ca-permeable Kainate Receptor; reactome: Activation of kainate receptors upon glutamate binding; reactome: Ionotropic activity of kainate receptors; reactome: Neuronal System; reactome: Neurotransmitter receptors and postsynaptic signal transmission; reactome: Transmission across Chemical Synapses,moderate,yes,limited,limited,unclear,unclear,unclear,37349795,NCALD showed genome-wide significant pleiotropic association with longitudinal language and memory phenotypes relevant to AD and related dementias.,2.0,1.0,1.0,1.0,,,,reviewed,6.0,6.0,moderate_candidate,3.0,6.0,4.0,0.0,0.0,0.0,33356029;30469050;35883512;24496069;24844689;37349795
GFAP,queried,astrocyte end-foot; astrocyte projection; cell body; cytoplasm; cytoplasmic side of lysosomal membrane; cytoskeleton; cytosol; enteric nervous system development; glial cell projection; identical protein binding; integrin binding; intermediate filament; intermediate filament cytoskeleton; intermediate filament organization; kinase binding; lysosome; membrane; neural crest cell migration; positive regulation of glial cell proliferation; protein binding; regulation of chaperone-mediated autophagy; regulation of protein-containing complex assembly; response to ethanol; structural constituent of cytoskeleton,biocarta: prion pathway; kegg: JAK-STAT signaling pathway - Homo sapiens (human); reactome: Autophagy; reactome: Chaperone Mediated Autophagy; reactome: Nuclear signaling by ERBB4; reactome: Signal Transduction; reactome: Signaling by ERBB4; reactome: Signaling by Receptor Tyrosine Kinases; wikipathways: Neural Crest Differentiation; wikipathways: Spinal Cord Injury,https://mygene.info/v3/query?q=ensembl.gene%3AENSG00000131095&species=human&fields=symbol%2Ctaxid%2Censembl.gene%2Cgo%2Cpathway&size=10,0,0,0,0,24,10,astrocyte end-foot; astrocyte projection; cell body; cytoplasm; cytoplasmic side of lysosomal membrane; cytoskeleton; cytosol; enteric nervous system development; glial cell projection; identical protein binding; integrin binding; intermediate filament; intermediate filament cytoskeleton; intermediate filament organization; kinase binding; lysosome; membrane; neural crest cell migration; positive regulation of glial cell proliferation; protein binding; regulation of chaperone-mediated autophagy; regulation of protein-containing complex assembly; response to ethanol; structural constituent of cytoskeleton,biocarta: prion pathway; kegg: JAK-STAT signaling pathway - Homo sapiens (human); reactome: Autophagy; reactome: Chaperone Mediated Autophagy; reactome: Nuclear signaling by ERBB4; reactome: Signal Transduction; reactome: Signaling by ERBB4; reactome: Signaling by Receptor Tyrosine Kinases; wikipathways: Neural Crest Differentiation; wikipathways: Spinal Cord Injury,,,,,,,,,,,,,,,,,not_reviewed,2384.0,10.0,strong_candidate,7.0,4.0,1.0,7.0,6.0,3.0,37174709;38347190;37690071;38254693;40818509;38956042;41402627;40911305;39913137;39511865
