gene,median_log2fc,combined_p,evidence_score,gene_name,gene_type,ad_evidence_level,human_ad_evidence,mechanistic_evidence,synaptic_evidence,tau_evidence,amyloid_evidence,neuroinflammation_evidence,pmid,literature_note,pubmed_total_hits,papers_reviewed_auto,auto_evidence_level,human_hits,mechanistic_hits,synaptic_hits,tau_hits,amyloid_hits,neuroinflammation_hits,pmids_auto,top_titles
ADAMTS2,0.8656690105555511,0.0088987778603084,0.7213908421296259,ADAM metallopeptidase with thrombospondin type 1 motif 2,protein-coding,strong,yes,limited,limited,yes,limited,limited,41059714;35557837;39606402,ADAMTS2 is strongly and reproducibly upregulated in human AD brain datasets and has been associated with cognitive decline and neuropathologic severity.,7,7,moderate_candidate,6,6,4,4,4,1,35557837;41278792;39606402;41059714;41723778;31491533;15693998,The Key Factors Predicting Dementia in Individuals With Alzheimer's Disease-Type Pathology. || Transcriptomic profiling of the middle temporal gyrus reveals differential glial/neuronal dysregulation across Alzheimer's disease and aging. || Transcriptome Signatures for Cognitive Resilience Among Individuals with Pathologically Confirmed Alzheimer Disease. || Novel differentially expressed genes and multiple biological pathways for Alzheimer's disease identified in brain tissue from African American donors. || Unravelling Synaptic and Metabolic Mechanisms of Cognitive Resilience in Asymptomatic Alzheimer's Disease Across Two Alzheimer's Disease Cohorts.
DUSP6,-0.8585677226327464,6.847381093492322e-09,0.7154731021939552,dual specificity phosphatase 6,protein-coding,strong,yes,yes,limited,unclear,yes,unclear,37662269;39006222,DUSP6 is a hub in a VGF-related late-onset AD network; DUSP6 overexpression reduced amyloid burden and improved memory in 5xFAD mice.,7,7,moderate_candidate,4,7,5,2,5,3,40374629;25001178;30572643;31351091;40599204;37662269;39006222,Combining cross-sectional and longitudinal genomic approaches to identify determinants of cognitive and physical decline. || MicroRNA-125b induces tau hyperphosphorylation and cognitive deficits in Alzheimer's disease. || Dual Specificity Phosphatase 6 Protects Neural Stem Cells from beta-Amyloid-Induced Cytotoxicity through ERK1/2 Inactivation. || Promoter DNA hypermethylation - Implications for Alzheimer's disease. || BDNF gene therapy rescues neuronal function via unique and common transcriptional responses in Abeta and tau-driven Alzheimer's disease mouse models.
ABCC12,-0.823728592211697,2.6357246739019636e-05,0.6864404935097475,ATP binding cassette subfamily C member 12,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Targeted review did not identify strong direct Alzheimer-specific evidence; retain as an exploratory candidate rather than calling it novel.,1,1,limited_candidate,0,1,1,1,1,0,42733437,Deep Neural Network Classifier for Alzheimer's Disease.
CPM,0.707883304559652,0.0008664108142573,0.5899027537997099,carboxypeptidase M,protein-coding,limited,yes,unclear,unclear,unclear,unclear,limited,15722950,"CPM appeared among altered transcripts in an older human AD lymphocyte expression study, but direct brain or mechanistic evidence remains limited.",27,10,strong_candidate,6,7,0,3,6,0,26206249;39281738;41089659;40110659;32156251;39082002;32595501;29587223;20809128;40336267,Role of neuroimaging in multidisciplinary approach towards Non-Alzheimer's dementia. || Connectome-based predictive modeling of brain pathology and cognition in Autosomal Dominant Alzheimer's Disease. || GenCPM: a toolbox for generalized connectome-based predictive modeling. || Connectome-based predictive modeling of brain pathology and cognition in autosomal dominant Alzheimer's disease. || Neural stem cell-conditioned medium ameliorates Abeta25-35-induced damage in SH-SY5Y cells by protecting mitochondrial function.
BDNF,-0.7005871131380594,0.003674649622338,0.5838225942817161,brain derived neurotrophic factor,protein-coding,strong,yes,yes,yes,yes,yes,limited,9387865;26819457;27701410,"BDNF is reduced in Alzheimer brain; higher cortical BDNF expression is associated with slower cognitive decline, and experimental work supports neuroprotective effects.",2599,10,strong_candidate,6,8,6,4,5,3,35090576;39205389;38791161;36498925;34093436;35130907;37732619;31037648;30190379;22699449,Brain-derived neurotrophic factor in Alzheimer's disease and its pharmaceutical potential. || A small TAT-TrkB peptide prevents BDNF receptor cleavage and restores synaptic physiology in Alzheimer's disease. || Curcumin Improves Neurogenesis in Alzheimer's Disease Mice via the Upregulation of Wnt/beta-Catenin and BDNF. || Gene- and Gender-Related Decrease in Serum BDNF Levels in Alzheimer's Disease. || Effects of Aerobic Exercise Training on Systemic Biomarkers and Cognition in Late Middle-Aged Adults at Risk for Alzheimer's Disease.
CEND1,-0.6685435145607768,0.0040994876782954,0.5571195954673139,cell cycle exit and neuronal differentiation 1,protein-coding,strong,yes,yes,yes,yes,yes,limited,35732922;39562718,"CEND1 deficiency causes mitochondrial dysfunction and cognitive impairment in AD models; overexpression rescues deficits, and circulating CEND1 has also been associated with future AD risk.",3,3,limited_candidate,2,3,2,0,0,1,35732922;39562718;39872979,CEND1 deficiency induces mitochondrial dysfunction and cognitive impairment in Alzheimer's disease. || Large-scale proteomic analyses of incident Alzheimer's disease reveal new pathophysiological insights and potential therapeutic targets. || Neuroinflammation mediates the progression of neonate hypoxia-ischemia brain damage to Alzheimer's disease: a bioinformatics and experimental study.
SERPINA5,0.6606237518961269,0.0003055855104729,0.5505197932467724,serpin family A member 5,protein-coding,strong,yes,yes,limited,yes,limited,limited,33875655;37327267,SERPINA5 expression is associated with selective hippocampal vulnerability in AD and colocalizes with tau pathology; a rare coding variant did not explain clinicopathologic differences.,5,5,moderate_candidate,5,2,2,2,0,1,40469059;37327267;33875655;25982926;42618108,"LC-MS/MS proteomics identifies plasma proteins related to cognition over 9-year follow-up. || The SERPINA5 coding variant E228Q does not contribute to clinicopathologic characteristics in Alzheimer's disease: A cross-sectional study. || Transcriptomic analysis to identify genes associated with selective hippocampal vulnerability in Alzheimer's disease. || Altered Expression of Brain Proteinase-Activated Receptor-2, Trypsin-2 and Serpin Proteinase Inhibitors in Parkinson's Disease. || A robust HPLC-HILIC enrichment system for O-glycoproteomics profiling of plasma and cerebrospinal fluid across Alzheimer's disease progression."
BEX5,-0.6477491768298465,0.0003685511290932,0.5397909806915386,brain expressed X-linked 5,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from the targeted literature review.,0,0,unclear,0,0,0,0,0,0,,
ZNF652,0.6383090923877681,0.0075436531645047,0.5319242436564734,zinc finger protein 652,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from the targeted literature review.,2,2,limited_candidate,1,2,0,1,1,0,38706793;39201500,"Dissecting the shared genetic architecture between Alzheimer's disease and frailty: a cross-trait meta-analyses of genome-wide association studies. || Investigating Genetic Overlap between Alzheimer's Disease, Lipids, and Coronary Artery Disease: A Large-Scale Genome-Wide Cross Trait Analysis."
KRT5,-0.6346358720489372,0.0002351765399151,0.5288632267074477,keratin 5,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear; retain as exploratory.,0,0,unclear,0,0,0,0,0,0,,
PRKX,0.6052423695383164,0.0001338531053882,0.5043686412819304,protein kinase cAMP-dependent X-linked catalytic subunit,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Targeted literature review did not identify convincing direct Alzheimer-specific evidence.,0,0,unclear,0,0,0,0,0,0,,
COL12A1,-0.5667024366252562,0.0019925816404517,0.4722520305210468,collagen type XII alpha 1 chain,protein-coding,unclear,limited,unclear,unclear,unclear,unclear,unclear,,"Some genetic databases link COL12A1 loci to AD, but direct transcriptomic or mechanistic evidence is not yet strong enough here for a higher evidence label.",0,0,unclear,0,0,0,0,0,0,,
FIBP,-0.5646696147735728,0.0002835146792549,0.4705580123113106,FGF1 intracellular binding protein,protein-coding,strong,yes,limited,limited,yes,yes,yes,41866337,"Decreased FIBP expression is associated with AD, amyloidopathy and tauopathy in human brain cohorts, with replication across ROSMAP and MSBB regions; newer immune-cell analyses also link FIBP expression to AD risk.",5,5,moderate_candidate,4,5,0,1,1,1,41854441;41866337;35931864;41143248;40908685,Transcriptomic Insights Into Alzheimer's Disease: Differentially Expressed Genes and Cholesterol Metabolism. || Population and single-cell analyses reveal immune cell-specific expression profiles associated with Alzheimer's disease risk. || Genetics of the human microglia regulome refines Alzheimer's disease risk loci. || Deciphering Alzheimer's disease transcriptomics: exploration and validation of core genes in tau and Abeta pathological models toward novel therapeutic targets. || From Anesthetic to Neuroprotector: Multi-Omics Reveals Ketamine's Previously Unexplored Neuroprotective Role in Alzheimer's Disease.
PHF19,0.5515909931789547,0.0019455346129604,0.4596591609824622,PHD finger protein 19,protein-coding,limited,limited,yes,limited,unclear,yes,limited,41825614,"PHF19-PRC2 signaling was implicated in pericyte injury, blood-brain barrier dysfunction and behavioral deficits in Aβ-treated cells and APP/PS1 mice.",2,2,limited_candidate,1,2,0,0,1,0,35105355;41825614,Diagnostic Evidence GAuge of Single cells (DEGAS): a flexible deep transfer learning framework for prioritizing cells in relation to disease. || PDGF-BB mitigates pericyte injury by activating the PHF19-PRC2 complex via the miR-221/BRCA1 signaling axis in Alzheimer's disease.
EFR3B,-0.5346195308146546,0.0013378166173018,0.4455162756788788,EFR3 homolog B,protein-coding,unclear,unclear,unclear,limited,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from targeted review.,0,0,unclear,0,0,0,0,0,0,,
PDE10A,-0.5308423941319349,0.0003127953367866,0.4423686617766124,phosphodiesterase 10A,protein-coding,moderate,limited,yes,yes,yes,yes,yes,41146234,"PDE10A inhibition improves CREB signaling and neuronal resilience in AD models, reducing amyloid-beta, phosphorylated tau and neuroinflammation while improving synaptic and cognitive phenotypes.",12,10,strong_candidate,7,9,2,1,1,1,41146234;33914237;32938236;33356029;34907481;31728850;40215195;33414502;24184653;29175000,"Dual PDE4/10A inhibition restores CREB1 function and enhances neuronal resilience in models of alzheimer's disease. || Papaverine, a Phosphodiesterase 10A Inhibitor, Ameliorates Quinolinic Acid-Induced Synaptotoxicity in Human Cortical Neurons. || Quetiapine and novel PDE10A inhibitors potentiate the anti-BuChE activity of donepezil. || The role of circadian rhythm in the regulation of cellular protein profiles in the brain. || Selectivity mechanism of phosphodiesterase isoform inhibitor through in silico investigations."
P2RX7,0.528166356429534,0.0005700825823161,0.440138630357945,purinergic receptor P2X 7,protein-coding,moderate,yes,yes,limited,unclear,limited,yes,40987420,P2RX7 regulates human microglia-like cell function and has been linked to inflammatory pathways associated with Alzheimer disease traits.,15,10,strong_candidate,7,9,4,4,3,8,40678243;32116543;40987420;38645234;35887215;32811520;41672153;38360834;32423012;40207815,P2RX7 regulates tauopathy progression via tau and mitochondria loading in extracellular vesicles. || Association of Hypomorphic P2X7 Receptor Genotype With Age. || P2RX7 modulates the function of human microglia-like cells and mediates the association of IL18 with Alzheimer's disease traits. || IL-1RA Disrupts ATP Activation of P2RX7 in Human Monocyte-Derived Microglia-like Cells. || Identification of Leukocyte Surface P2X7 as a Biomarker Associated with Alzheimer's Disease.
NCALD,-0.8629155644634805,0.0029836154593187,0.4314577822317402,neurocalcin delta,protein-coding,moderate,yes,limited,limited,unclear,unclear,unclear,37349795,NCALD showed genome-wide significant pleiotropic association with longitudinal language and memory phenotypes relevant to AD and related dementias.,6,6,moderate_candidate,3,6,4,0,0,0,33356029;30469050;35883512;24496069;24844689;37349795,The role of circadian rhythm in the regulation of cellular protein profiles in the brain. || Characterization of neurocalcin delta membrane binding by biophysical methods. || Zinc Modulation of Neuronal Calcium Sensor Proteins: Three Modes of Interaction with Different Structural Outcomes. || Hyperhomocysteinemia and bleomycin hydrolase modulate the expression of mouse brain proteins involved in neurodegeneration. || Inactivation of the paraoxonase 1 gene affects the expression of mouse brain proteins involved in neurodegeneration.
GFAP,0.8470036751661176,0.0024507363054068,0.4235018375830588,glial fibrillary acidic protein,protein-coding,,,,,,,,,,2384,10,strong_candidate,7,4,1,7,6,3,37174709;38347190;37690071;38254693;40818509;38956042;41402627;40911305;39913137;39511865,GFAP as a Potential Biomarker for Alzheimer's Disease: A Systematic Review and Meta-Analysis. || Plasma proteomic profiles predict future dementia in healthy adults. || Astrocyte biomarkers GFAP and YKL-40 mediate early Alzheimer's disease progression. || Blood Biomarkers of Alzheimer's Disease and Cognition: A Literature Review. || Biomarker profile of a Chinese ALS cohort: A comprehensive clinical-biomarkers-imaging analysis.
SLC38A2,0.5004470268434797,0.0005295908253427,0.4170391890362331,solute carrier family 38 member 2,protein-coding,,,,,,,,,,6,6,moderate_candidate,4,5,3,3,1,1,38478169;35282112;39606402;41715163;33875655;40060644,"Analysis and experimental validation of necroptosis-related molecular classification, immune signature and feature genes in Alzheimer's disease. || Establishing a competing endogenous RNA (ceRNA)-immunoregulatory network associated with the progression of Alzheimer's disease. || Transcriptome Signatures for Cognitive Resilience Among Individuals with Pathologically Confirmed Alzheimer Disease. || Upregulation of SLC38A2 by melatonin attenuates hippocampal ferroptosis in Alzheimer's disease. || Transcriptomic analysis to identify genes associated with selective hippocampal vulnerability in Alzheimer's disease."
ZDHHC23,-0.8246868219390371,0.0091826008610947,0.4123434109695185,zDHHC palmitoyltransferase 23,protein-coding,,,,,,,,,,0,0,unclear,0,0,0,0,0,0,,
GAD1,-0.8220035477581007,0.0059085408347599,0.4110017738790503,glutamate decarboxylase 1,protein-coding,,,,,,,,,,16,10,strong_candidate,6,9,7,1,3,4,39650656;40467545;39210294;41278630;42161970;36635346;39213070;41868603;41300737;31507372,Identification of early Alzheimer's disease subclass and signature genes based on PANoptosis genes. || Intracellular accumulation of amyloid-ss is a marker of selective neuronal vulnerability in Alzheimer's disease. || Common molecular and pathophysiological underpinnings of delirium and Alzheimer's disease: molecular signatures and therapeutic indications. || Proteomic characterization of neuronal extracellular vesicle interactomes in Alzheimer's disease mouse model through TurboID-based proximity labeling. || Dual platform spatial transcriptomics reveals parvalbumin interneuron subtype vulnerability in mouse models of Alzheimer's disease.
TSPAN7,-0.7992562184751808,0.0074980355678867,0.3996281092375904,tetraspanin 7,protein-coding,,,,,,,,,,1,1,limited_candidate,1,1,1,0,1,1,32468130,"Tetraspanin 7 and its closest paralog tetraspanin 6: membrane organizers with key functions in brain development, viral infection, innate immunity, diabetes and cancer."
HTR3B,-0.7619581230560679,0.0060232060963247,0.3809790615280339,5-hydroxytryptamine receptor 3B,protein-coding,,,,,,,,,,1,1,limited_candidate,1,1,1,0,0,0,39329756,Cannabinol (CBN) Influences the Ion Channels and Synaptic-Related Genes in NSC-34 Cell Line: A Transcriptomic Study.
CSF1,0.7460248745297351,0.0033970653980611,0.3730124372648675,colony stimulating factor 1,protein-coding,,,,,,,,,,32,10,strong_candidate,10,9,0,1,4,9,39334471;40069774;40389754;33350588;40570367;39554174;38184014;33402196;39571157;30104955,"Knockdown of microglial iron import gene, Slc11a2, worsens cognitive function and alters microglial transcriptional landscape in a sex-specific manner in the APP/PS1 model of Alzheimer's disease. || A versatile mouse model to advance human microglia transplantation research in neurodegenerative diseases. || Elevated levels of salivary interleukin-34 in patients suffering from Alzheimer's disease. || Attenuated CSF-1R signalling drives cerebrovascular pathology. || Cytokine-induced reprogramming of human macrophages toward Alzheimer's disease-relevant molecular and cellular phenotypes in vitro."
UHRF1,0.7388361900380738,0.0091661838123437,0.3694180950190369,ubiquitin like with PHD and ring finger domains 1,protein-coding,,,,,,,,,,2,2,limited_candidate,1,2,0,0,0,0,36646969;32918118,Differential expression of m(5)C RNA methyltransferase genes NSUN6 and NSUN7 in Alzheimer's disease and traumatic brain injury. || Altered DNA methylation profiles in blood from patients with sporadic Creutzfeldt-Jakob disease.
DIRAS1,-0.7235824188486291,0.0052414598364815,0.3617912094243145,DIRAS family GTPase 1,protein-coding,,,,,,,,,,2,2,limited_candidate,1,0,0,1,0,0,40149871;37149695,THOP1 Is Entailed in a Genetic Fingerprint Associated with Late-Onset Alzheimer's Disease. || Entorhinal cortex epigenome-wide association study highlights four novel loci showing differential methylation in Alzheimer's disease.
ARL4D,-0.7207203016373466,0.0001413680281844,0.3603601508186733,ARF like GTPase 4D,protein-coding,,,,,,,,,,0,0,unclear,0,0,0,0,0,0,,
IKZF2,0.6465830486587203,0.003484748633878,0.3232915243293601,IKAROS family zinc finger 2,protein-coding,,,,,,,,,,0,0,unclear,0,0,0,0,0,0,,
OGDHL,-0.6352570067093737,0.0070655253462277,0.3176285033546868,oxoglutarate dehydrogenase L,protein-coding,,,,,,,,,,2,2,limited_candidate,1,1,0,1,1,1,34798170;31072331,"OGDHL ameliorates cognitive impairment and Alzheimer's disease-like pathology via activating Wnt/beta-catenin signaling in Alzheimer's disease mice. || Alternative cleavage and polyadenylation of genes associated with protein turnover and mitochondrial function are deregulated in Parkinson's, Alzheimer's and ALS disease."
ITGB8,0.6352392706299028,0.0037260550504898,0.3176196353149514,integrin subunit beta 8,protein-coding,,,,,,,,,,2,2,limited_candidate,1,2,0,1,1,1,37749326;41720779,APOE4 impairs the microglial response in Alzheimer's disease by inducing TGFbeta-mediated checkpoints. || Genetic modifiers of APOE-epsilon4-associated cognitive decline.
PTGS2,-0.6223322469133659,0.0062231209592895,0.3111661234566829,prostaglandin-endoperoxide synthase 2,protein-coding,,,,,,,,,,101,10,strong_candidate,4,9,4,2,6,4,29784049;38755521;40909607;35629210;40274471;37032823;40640358;35787281;35783137;41565030,Identification and therapeutic modulation of a pro-inflammatory subset of disease-associated-microglia in Alzheimer's disease. || Quercetin Inhibits Neuronal Pyroptosis and Ferroptosis by Modulating Microglial M1/M2 Polarization in Atherosclerosis. || Dual Inhibition of sEH and COX-2 Improved Cognition in Alzheimer's Disease via Enhanced Myogenic Response and Cerebral Artery Distensibility. || Pharmacogenetics of Donepezil and Memantine in Healthy Subjects. || Evaluation of exploratory fluid biomarkers from a phase 1 senolytic trial in mild Alzheimer's disease.
HVCN1,0.6156990137240745,0.0091593413781506,0.3078495068620372,hydrogen voltage gated channel 1,protein-coding,,,,,,,,,,1,1,limited_candidate,1,1,0,0,0,0,41854441,Transcriptomic Insights Into Alzheimer's Disease: Differentially Expressed Genes and Cholesterol Metabolism.
ADAM11,-0.6108478658300376,0.0023829143536041,0.3054239329150188,ADAM metallopeptidase domain 11,protein-coding,,,,,,,,,,1,1,limited_candidate,0,1,1,0,1,1,31236626,Functions of 'A disintegrin and metalloproteases (ADAMs)' in the mammalian nervous system.
IRAK2,0.6027595137634973,0.0070721339459424,0.3013797568817487,interleukin 1 receptor associated kinase 2,protein-coding,,,,,,,,,,2,2,limited_candidate,2,2,0,0,1,1,41727334;20937840,Comparison of CRISPR Sequences in Archaea and Bacteria with Eukaryotic microRNAs. || Differential regulation of interleukin-1 receptor-associated kinase-1 (IRAK-1) and IRAK-2 by microRNA-146a and NF-kappaB in stressed human astroglial cells and in Alzheimer disease.
GRM8,-0.5946878372010507,0.0041610152621408,0.2973439186005253,glutamate metabotropic receptor 8,protein-coding,,,,,,,,,,2,2,limited_candidate,2,2,2,1,1,0,39396906;41116277,"Hippocampal tau-induced GRIN3A deficiency in Alzheimer's disease. || An In silico Multi-Omics Investigation of Alzheimer's Disease Linking Gene Dysregulation, Mutations, and Protein Networks to Core Pathologies."
SHD,-0.5890737199722499,0.0017536129521315,0.2945368599861249,Src homology 2 domain containing transforming protein D,protein-coding,,,,,,,,,,5,5,moderate_candidate,0,5,2,1,4,2,39787692;41192695;41442122;38423408;42593101,Shenghui decoction inhibits neuronal cell apoptosis to improve Alzheimer's disease through the PDE4B/cAMP/CREB signaling pathway. || ShengHui Decoction mitigates oxidative stress and neuroinflammation in AlCl(3)-induced AD zebrafish via activating Nrf2/HO-1 and inhibiting NF-kappaB signaling pathway. || Molecular Mechanism of Beta-Amyloid Aggregation Inhibition by KLVFF. || Neuroprotective effects of Shenghui decoction via inhibition of the JNK/p38 MAPK signaling pathway in an AlCl(3)-induced zebrafish (Danio rerio) model of Alzheimer's disease. || Deep Learning-Based Enhancement of Already Diagnostic-Quality MRI for Alzheimer's Disease Classification: Effects on Model Performance and Training Data Requirements.
